,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q9Y2W1,BioGRID,TR150_HUMAN,Thyroid hormone receptor-associated protein 3,955,Acetylation; Activator; ADP-ribosylation; ATP-binding; Biological rhythms;Direct protein sequencing; Isopeptide bond; Methylation; mRNA processing;mRNA splicing; Nucleotide-binding; Nucleus; Phosphoprotein; Receptor;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,RNA processing
P01008,BioGRID,ANT3_HUMAN,Antithrombin-III,464,3D-structure; Blood coagulation; Direct protein sequencing;Disease variant; Disulfide bond; Glycoprotein; Hemostasis; Heparin-binding;Phosphoprotein; Protease inhibitor; Reference proteome; Secreted;Serine protease inhibitor; Signal; Thrombophilia.,
Q9P2J5,BioGRID,SYLC_HUMAN,"Leucine--tRNA ligase, cytoplasmic {ECO:0000305}",1176,3D-structure; Acetylation; Alternative splicing; Aminoacyl-tRNA synthetase;ATP-binding; Cytoplasm; Disease variant; Ligase; Nucleotide-binding;Phosphoprotein; Protein biosynthesis; Reference proteome.,
Q96JK2,BioGRID,DCAF5_HUMAN,DDB1- and CUL4-associated factor 5,942,3D-structure; Alternative splicing; Phosphoprotein; Reference proteome;Repeat; Ubl conjugation pathway; WD repeat.,
Q9HCK8,Gene Ontology,CHD8_HUMAN,Chromodomain-helicase-DNA-binding protein 8 {ECO:0000255|HAMAP-Rule:MF_03071},2581,3D-structure; Activator; Alternative splicing; ATP-binding; Autism;Autism spectrum disorder; Chromatin regulator; Disease variant;DNA-binding; Helicase; Hydrolase; Isopeptide bond; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;Transcription; Transcription regulation; Ubl conjugation;Wnt signaling pathway.,Histone PTM readers;Chromatin remodelers;DNA-modifying enzymes
Q13724,BioGRID,MOGS_HUMAN,Mannosyl-oligosaccharide glucosidase {ECO:0000305|PubMed:7635146},837,Alternative splicing; Disease variant; Endoplasmic reticulum; Glycoprotein;Glycosidase; Hydrolase; Membrane; Reference proteome; Signal-anchor;Transmembrane; Transmembrane helix.,
P55265,Gene Ontology,DSRAD_HUMAN,Double-stranded RNA-specific adenosine deaminase,1226,3D-structure; Aicardi-Goutieres syndrome; Alternative promoter usage;Alternative splicing; Antiviral defense; Cytoplasm;Direct protein sequencing; Disease variant; DNA-binding; Hydrolase;Immunity; Innate immunity; Isopeptide bond; Metal-binding; Methylation;mRNA processing; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; RNA-mediated gene silencing; Ubl conjugation; Zinc.,RNA processing
Q9UGP5,Gene Ontology,DPOLL_HUMAN,DNA polymerase lambda {ECO:0000305},575,3D-structure; Alternative splicing; Chromosome; DNA damage; DNA repair;DNA replication; DNA synthesis; DNA-binding; DNA-directed DNA polymerase;Lyase; Manganese; Metal-binding; Nucleotidyltransferase; Nucleus;Reference proteome; Transferase.,DNA replication;DNA repair;DNA-modifying enzymes
Q8WYB5,Gene Ontology,KAT6B_HUMAN,Histone acetyltransferase KAT6B,2073,3D-structure; Acetylation; Activator; Acyltransferase;Alternative splicing; Chromatin regulator; Chromosomal rearrangement;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Histone modification;Histone PTM writers
Q6NZY4,BioGRID,ZCHC8_HUMAN,Zinc finger CCHC domain-containing protein 8,707,3D-structure; Acetylation; Alternative splicing; Coiled coil;Disease variant; Isopeptide bond; Metal-binding; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Spliceosome;Ubl conjugation; Zinc; Zinc-finger.,
P28340,Gene Ontology,DPOD1_HUMAN,DNA polymerase delta catalytic subunit {ECO:0000305},1107,3D-structure; 4Fe-4S; Disease variant; DNA damage; DNA excision;DNA repair; DNA replication; DNA-binding; DNA-directed DNA polymerase;Exonuclease; Hydrolase; Iron; Iron-sulfur; Isopeptide bond; Metal-binding;Methylation; Nuclease; Nucleotidyltransferase; Nucleus; Reference proteome;Transferase; Ubl conjugation; Zinc; Zinc-finger.,DNA replication;DNA repair;Telomere-associated;DNA-modifying enzymes
Q15046,BioGRID,SYK_HUMAN,Lysine--tRNA ligase,597,3D-structure; Acetylation; Alternative splicing; Aminoacyl-tRNA synthetase;ATP-binding; Cell membrane; Charcot-Marie-Tooth disease; Cytoplasm;Deafness; Direct protein sequencing; Disease variant;Host-virus interaction; Intellectual disability; Ligase; Membrane;Mitochondrion; Neurodegeneration; Neuropathy; Non-syndromic deafness;Nucleotide-binding; Nucleus; Phosphoprotein; Protein biosynthesis;Reference proteome; Secreted; Transferase.,
Q8TDC3,BioGRID,BRSK1_HUMAN,Serine/threonine-protein kinase BRSK1,778,Alternative splicing; ATP-binding; Cell cycle; Cell projection; Cytoplasm;Cytoplasmic vesicle; Cytoskeleton; DNA damage; Kinase; Magnesium;Metal-binding; Methylation; Neurogenesis; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Serine/threonine-protein kinase;Synapse; Transferase.,
Q00839,Gene Ontology,HNRPU_HUMAN,Heterogeneous nuclear ribonucleoprotein U {ECO:0000303|PubMed:1628625},825,3D-structure; Acetylation; Activator; ADP-ribosylation;Alternative splicing; ATP-binding; Biological rhythms; Cell cycle;Cell division; Centromere; Chromatin regulator; Chromosome; Citrullination;Cytoplasm; Cytoskeleton; Developmental protein; Differentiation;Direct protein sequencing; Disease variant; DNA-binding; Epilepsy;Host-virus interaction; Isopeptide bond; Kinetochore; Methylation; Mitosis;mRNA processing; mRNA splicing; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Ribonucleoprotein;RNA-binding; Spliceosome; Transcription; Transcription regulation;Ubl conjugation.,Centromere-associated;X-chromosome inactivation;RNA processing;Regulation of transcription
Q9Y3Y2,BioGRID,CHTOP_HUMAN,Chromatin target of PRMT1 protein,248,Acetylation; Alternative splicing; Isopeptide bond; Methylation;mRNA transport; Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Transcription; Transcription regulation; Transport; Ubl conjugation.,Methylated DNA binding
P46777,BioGRID,RL5_HUMAN,Large ribosomal subunit protein uL18 {ECO:0000303|PubMed:24524803},297,3D-structure; Acetylation; Cytoplasm; Diamond-Blackfan anemia;Direct protein sequencing; Disease variant; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Ribonucleoprotein; Ribosomal protein;RNA-binding; rRNA-binding; Ubl conjugation.,
Q9NVI1,Gene Ontology,FANCI_HUMAN,Fanconi anemia group I protein,1328,3D-structure; Alternative splicing; Cell cycle; Cytoplasm;Direct protein sequencing; Disease variant; DNA damage; DNA repair;DNA-binding; Fanconi anemia; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation.,DNA repair
Q9H444,BioGRID,CHM4B_HUMAN,Charged multivesicular body protein 4b,224,3D-structure; Acetylation; Cataract; Coiled coil; Cytoplasm;Direct protein sequencing; Disease variant; Endosome;Host-virus interaction; Membrane; Nucleus; Phosphoprotein;Protein transport; Reference proteome; Transport; Ubl conjugation.,Centromere-associated
Q8NG31,BioGRID,KNL1_HUMAN,Kinetochore scaffold 1,2342,3D-structure; Alternative splicing; Cell cycle; Cell division; Centromere;Chromosomal rearrangement; Chromosome; Chromosome partition; Coiled coil;Disease variant; Intellectual disability; Kinetochore; Mitosis; Nucleus;Phosphoprotein; Primary microcephaly; Reference proteome; Repeat.,Centromere-associated
Q5T5P2,BioGRID,SKT_HUMAN,Sickle tail protein homolog,1943,Alternative splicing; Coiled coil; Cytoplasm; Cytoskeleton;Developmental protein; Glycoprotein; Phosphoprotein; Reference proteome.,
P55347,Gene Ontology,PKNX1_HUMAN,Homeobox protein PKNOX1,436,3D-structure; Activator; Alternative splicing; DNA-binding; Homeobox;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors;DNA-templated transcription
Q15561,Gene Ontology,TEAD4_HUMAN,Transcriptional enhancer factor TEF-3,434,3D-structure; Activator; Alternative splicing; DNA-binding; Nucleus;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
P54252,BioGRID,ATX3_HUMAN,Ataxin-3,361,3D-structure; Alternative splicing; Hydrolase; Isopeptide bond; Lysosome;Membrane; Neurodegeneration; Nucleus; Phosphoprotein; Protease;Reference proteome; Repeat; Spinocerebellar ataxia; Thiol protease;Transcription; Transcription regulation; Triplet repeat expansion;Ubl conjugation; Ubl conjugation pathway.,DNA repair
Q16206,BioGRID,ENOX2_HUMAN,Protein disulfide-thiol oxidoreductase,610,Alternative splicing; Biological rhythms; Cell membrane; Coiled coil;Copper; Direct protein sequencing; Electron transport; Glycoprotein;Growth regulation; Membrane; NAD; Oxidoreductase; Reference proteome;Secreted; Transport.,
Q96FV2,BioGRID,SCRN2_HUMAN,Secernin-2,425,Alternative splicing; Phosphoprotein; Reference proteome.,
Q5TC82,Gene Ontology,RC3H1_HUMAN,Roquin-1 {ECO:0000305},1133,3D-structure; Alternative splicing; Cytoplasm; Disease variant;Metal-binding; Phosphoprotein; Reference proteome; Repeat; RNA-binding;Transferase; Zinc; Zinc-finger.,
Q6DD87,BioGRID,ZN787_HUMAN,Zinc finger protein 787,382,DNA-binding; Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9Y3Z3,Gene Ontology,SAMH1_HUMAN,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 {ECO:0000305},626,3D-structure; Acetylation; Aicardi-Goutieres syndrome; Allosteric enzyme;Alternative splicing; Antiviral defense; Chromosome;Direct protein sequencing; Disease variant; DNA damage; DNA repair;DNA replication; GTP-binding; Host-virus interaction; Hydrolase; Immunity;Innate immunity; Isopeptide bond; Metal-binding; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation; Zinc.,DNA replication;DNA repair
Q96G25,Gene Ontology,MED8_HUMAN,Mediator of RNA polymerase II transcription subunit 8,268,3D-structure; Activator; Alternative splicing; Coiled coil;Direct protein sequencing; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation pathway.,Regulation of transcription;DNA-templated transcription
P40939,BioGRID,ECHA_HUMAN,Long chain 3-hydroxyacyl-CoA dehydrogenase,763,3D-structure; Acetylation; Alternative splicing; Disease variant;Fatty acid metabolism; Lipid metabolism; Lyase; Membrane; Methylation;Mitochondrion; Mitochondrion inner membrane; Multifunctional enzyme; NAD;Oxidoreductase; Phosphoprotein; Reference proteome; Transferase;Transit peptide.,
Q15233,Gene Ontology,NONO_HUMAN,Non-POU domain-containing octamer-binding protein {ECO:0000303|PubMed:9393982},471,3D-structure; Acetylation; Activator; Alternative splicing;Biological rhythms; Chromosomal rearrangement; Chromosome; Coiled coil;Direct protein sequencing; DNA damage; DNA recombination; DNA repair;DNA-binding; Immunity; Innate immunity; Intellectual disability;Isopeptide bond; Methylation; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; Repressor; RNA-binding;Transcription; Transcription regulation; Ubl conjugation.,RNA processing;Regulation of transcription
P01011,Gene Ontology,AACT_HUMAN,Alpha-1-antichymotrypsin His-Pro-less,423,3D-structure; Acute phase; Alternative splicing; Direct protein sequencing;Disease variant; Glycoprotein; Protease inhibitor; Reference proteome;Secreted; Serine protease inhibitor; Signal.,
O96019,BioGRID,ACL6A_HUMAN,Actin-like protein 6A,429,3D-structure; Acetylation; Activator; Alternative splicing;Chromatin regulator; Direct protein sequencing; Disease variant;DNA damage; DNA recombination; DNA repair; Growth regulation;Intellectual disability; Isopeptide bond; Neurogenesis; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Chromatin remodelers;Centromere-associated;Telomere-associated
Q14839,Gene Ontology,CHD4_HUMAN,Chromodomain-helicase-DNA-binding protein 4,1912,3D-structure; Acetylation; Alternative splicing; ATP-binding;Chromatin regulator; Cytoplasm; Cytoskeleton; Disease variant; DNA-binding;Helicase; Hydrolase; Intellectual disability; Isopeptide bond;Metal-binding; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Chromatin remodelers;DNA repair;Telomere-associated;DNA-modifying enzymes;Regulation of transcription
Q9UIH9,Gene Ontology,KLF15_HUMAN,Krueppel-like factor 15,416,3D-structure; Activator; DNA-binding; Metal-binding; Nucleus;Reference proteome; Repeat; Transcription; Transcription regulation; Zinc;Zinc-finger.,DNA-binding transcription factors
P13994,BioGRID,YJU2B_HUMAN,Probable splicing factor YJU2B {ECO:0000305},396,Coiled coil; Nucleus; Phosphoprotein; Reference proteome.,
Q14247,BioGRID,SRC8_HUMAN,Src substrate cortactin,550,3D-structure; Acetylation; Alternative splicing; Cell junction;Cell membrane; Cell projection; Coated pit; Coiled coil; Cytoplasm;Cytoskeleton; Endocytosis; Endoplasmic reticulum; Isopeptide bond;Membrane; Methylation; Phosphoprotein; Reference proteome; Repeat;SH3 domain; Synapse; Ubl conjugation.,
Q93008,BioGRID,USP9X_HUMAN,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,2554,3D-structure; Alternative splicing; Biological rhythms; Cell cycle;Cell division; Cell projection; Chromosome partition; Cytoplasm;Cytoskeleton; Disease variant; Hydrolase; Intellectual disability; Mitosis;Phosphoprotein; Protease; Reference proteome; Thiol protease;Ubl conjugation pathway.,DNA repair
Q5SY16,BioGRID,NOL9_HUMAN,Polynucleotide 5'-hydroxyl-kinase NOL9,702,Acetylation; ATP-binding; Isopeptide bond; Kinase; Nucleotide-binding;Nucleus; Phosphoprotein; Reference proteome; RNA-binding; rRNA processing;Transferase; Ubl conjugation.,
O95793,BioGRID,STAU1_HUMAN,Double-stranded RNA-binding protein Staufen homolog 1,577,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Endoplasmic reticulum; Host-virus interaction; Methylation; Phosphoprotein;Reference proteome; Repeat; RNA-binding.,
P35269,Gene Ontology,T2FA_HUMAN,General transcription factor IIF subunit 1,517,3D-structure; Acetylation; Direct protein sequencing; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Regulation of transcription;General TFs;DNA-templated transcription
P16455,Gene Ontology,MGMT_HUMAN,Methylated-DNA--protein-cysteine methyltransferase,207,3D-structure; Direct protein sequencing; DNA damage; DNA repair;DNA-binding; Metal-binding; Methyltransferase; Nucleus; Phosphoprotein;Reference proteome; Transferase; Zinc.,DNA repair;DNA-modifying enzymes;DNA de_methylation
Q8NC51,BioGRID,SERB1_HUMAN,SERPINE1 mRNA-binding protein 1,408,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; RNA-binding; Translation regulation;Ubl conjugation.,
Q6PJP8,Gene Ontology,DCR1A_HUMAN,DNA cross-link repair 1A protein,1040,3D-structure; Cell cycle; Cell division; DNA damage; DNA repair; Hydrolase;Isopeptide bond; Metal-binding; Mitosis; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation; Zinc; Zinc-finger.,DNA repair;DNA-modifying enzymes
O76021,BioGRID,RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1,490,3D-structure; Acetylation; Alternative splicing; Coiled coil;Direct protein sequencing; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation.,Preribosome-associated
Q9NQT4,Gene Ontology,EXOS5_HUMAN,Exosome complex component RRP46,235,3D-structure; Cytoplasm; Disease variant; DNA-binding; Exosome;Intellectual disability; Nucleus; Phosphoprotein; Reference proteome;rRNA processing.,Euchromatin-associated
Q9Y2X3,BioGRID,NOP58_HUMAN,Nucleolar protein 58 {ECO:0000305},529,3D-structure; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Ribonucleoprotein; Ribosome biogenesis; Ubl conjugation.,Preribosome-associated
O95347,Gene Ontology,SMC2_HUMAN,Structural maintenance of chromosomes protein 2,1197,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cell cycle;Cell division; Chromosome; Coiled coil; Cytoplasm; DNA condensation;Mitosis; Nucleotide-binding; Nucleus; Reference proteome.,SMC complexes
P17480,Gene Ontology,UBF1_HUMAN,Nucleolar transcription factor 1,764,3D-structure; Acetylation; Activator; Alternative splicing;Disease variant; DNA-binding; Intellectual disability; Neurodegeneration;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation.,DNA-templated transcription
P07814,BioGRID,SYEP_HUMAN,Proline--tRNA ligase {ECO:0000305|PubMed:24100331},1512,3D-structure; Acetylation; Aminoacyl-tRNA synthetase; ATP-binding;Cytoplasm; Disease variant; Leukodystrophy; Ligase; Membrane;Metal-binding; Methylation; Multifunctional enzyme; Neurodegeneration;Nucleotide-binding; Phosphoprotein; Protein biosynthesis;Reference proteome; Repeat; RNA-binding; Translation regulation; Zinc.,
P02675,BioGRID,FIBB_HUMAN,Fibrinogen beta chain,491,3D-structure; Adaptive immunity; Blood coagulation; Coiled coil;Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein;Hemostasis; Immunity; Innate immunity; Pyrrolidone carboxylic acid;Reference proteome; Secreted; Signal.,
